"序号","文件名","扩展名","大小MB","一级目录","模块","内容类型","建议标签","格式处理建议","相对路径","完整路径"
"14","全新版教师职业道德考试试题.doc",".doc","0.04","西安高层次人才教育类","教师职业道德","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\4、教师职业道德\全新版教师职业道德考试试题.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\4、教师职业道德\全新版教师职业道德考试试题.doc"
"15","全新版教师职业道德考试题110题.doc",".doc","0.04","西安高层次人才教育类","教师职业道德","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\4、教师职业道德\全新版教师职业道德考试题110题.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\4、教师职业道德\全新版教师职业道德考试题110题.doc"
"16","全新版教师职业道德专项练习.pdf",".pdf","0.23","西安高层次人才教育类","教师职业道德","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\4、教师职业道德\全新版教师职业道德专项练习.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\4、教师职业道德\全新版教师职业道德专项练习.pdf"
"17","全新版中小学教师职业道德规范.doc",".doc","0.01","西安高层次人才教育类","教师职业道德","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\4、教师职业道德\全新版中小学教师职业道德规范.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\4、教师职业道德\全新版中小学教师职业道德规范.doc"
"18","1中华人民共和国教育法 .doc",".doc","0.03","西安高层次人才教育类","教育法律法规","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\5、教育法律与法规\1中华人民共和国教育法 .doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\5、教育法律与法规\1中华人民共和国教育法 .doc"
"19","2中华人民共和国义务教育法 .doc",".doc","0.04","西安高层次人才教育类","教育法律法规","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\5、教育法律与法规\2中华人民共和国义务教育法 .doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\5、教育法律与法规\2中华人民共和国义务教育法 .doc"
"20","3中华人民共和国教师法 .doc",".doc","0.02","西安高层次人才教育类","教育法律法规","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\5、教育法律与法规\3中华人民共和国教师法 .doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\5、教育法律与法规\3中华人民共和国教师法 .doc"
"21","4中华人民共和国未成年人保护法 .doc",".doc","0.04","西安高层次人才教育类","教育法律法规","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\5、教育法律与法规\4中华人民共和国未成年人保护法 .doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\5、教育法律与法规\4中华人民共和国未成年人保护法 .doc"
"22","5中华人民共和国预防未成年人犯罪法 .doc",".doc","0.04","西安高层次人才教育类","教育法律法规","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\5、教育法律与法规\5中华人民共和国预防未成年人犯罪法 .doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\5、教育法律与法规\5中华人民共和国预防未成年人犯罪法 .doc"
"23","6《教育法规基础》知识点笔记.doc",".doc","0.06","西安高层次人才教育类","教育法律法规","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\5、教育法律与法规\6《教育法规基础》知识点笔记.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\5、教育法律与法规\6《教育法规基础》知识点笔记.doc"
"24","7中小学、幼儿园安全管理办法.doc",".doc","0.05","西安高层次人才教育类","教育法律法规","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\5、教育法律与法规\7中小学、幼儿园安全管理办法.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\5、教育法律与法规\7中小学、幼儿园安全管理办法.doc"
"25","教育法律法规.pdf",".pdf","0.37","西安高层次人才教育类","教育法律法规","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\7、综合演练\教育法律法规.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\7、综合演练\教育法律法规.pdf"
"26","全新版教师招考《教育法律法规》简答题.pdf",".pdf","1.09","西安高层次人才教育类","教育法律法规","主观题背诵","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\5、教育法律与法规\全新版教师招考《教育法律法规》简答题.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\5、教育法律与法规\全新版教师招考《教育法律法规》简答题.pdf"
"27","教师招聘教育心理学核心15页.docx",".docx","0.06","西安高层次人才教育类","教育心理学","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\教师招聘教育学、教育心理学核心30页\教师招聘教育心理学核心15页.docx","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\教师招聘教育学、教育心理学核心30页\教师招聘教育心理学核心15页.docx"
"28","教师招聘教育学核心15页.docx",".docx","0.06","西安高层次人才教育类","教育心理学","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\教师招聘教育学、教育心理学核心30页\教师招聘教育学核心15页.docx","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\教师招聘教育学、教育心理学核心30页\教师招聘教育学核心15页.docx"
"29","教育心理学复习精华.pdf",".pdf","1.49","西安高层次人才教育类","教育心理学","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\7、综合演练\教育心理学复习精华.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\7、综合演练\教育心理学复习精华.pdf"
"30","全新版《教育心理学》名词解释汇总.pdf",".pdf","0.16","西安高层次人才教育类","教育心理学","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\3、教育心理学\全新版《教育心理学》名词解释汇总.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\3、教育心理学\全新版《教育心理学》名词解释汇总.pdf"
"31","全新版《教育心理学》模拟试卷1.pdf",".pdf","0.14","西安高层次人才教育类","教育心理学","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\3、教育心理学\全新版《教育心理学》模拟试卷1.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\3、教育心理学\全新版《教育心理学》模拟试卷1.pdf"
"32","全新版《教育心理学》模拟试卷2.pdf",".pdf","0.13","西安高层次人才教育类","教育心理学","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\3、教育心理学\全新版《教育心理学》模拟试卷2.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\3、教育心理学\全新版《教育心理学》模拟试卷2.pdf"
"33","全新版《教育心理学》模拟试卷3.pdf",".pdf","0.13","西安高层次人才教育类","教育心理学","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\3、教育心理学\全新版《教育心理学》模拟试卷3.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\3、教育心理学\全新版《教育心理学》模拟试卷3.pdf"
"34","全新版《教育心理学》模拟试卷4.pdf",".pdf","0.16","西安高层次人才教育类","教育心理学","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\3、教育心理学\全新版《教育心理学》模拟试卷4.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\3、教育心理学\全新版《教育心理学》模拟试卷4.pdf"
"35","全新版《教育心理学》模拟试卷5.pdf",".pdf","0.16","西安高层次人才教育类","教育心理学","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\3、教育心理学\全新版《教育心理学》模拟试卷5.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\3、教育心理学\全新版《教育心理学》模拟试卷5.pdf"
"36","全新版《教育心理学》预测试卷（二）.pdf",".pdf","0.12","西安高层次人才教育类","教育心理学","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\3、教育心理学\全新版《教育心理学》预测试卷（二）.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\3、教育心理学\全新版《教育心理学》预测试卷（二）.pdf"
"37","全新版《教育心理学》预测试卷（三）.pdf",".pdf","0.13","西安高层次人才教育类","教育心理学","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\3、教育心理学\全新版《教育心理学》预测试卷（三）.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\3、教育心理学\全新版《教育心理学》预测试卷（三）.pdf"
"38","全新版《教育心理学》预测试卷（一）.pdf",".pdf","0.14","西安高层次人才教育类","教育心理学","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\3、教育心理学\全新版《教育心理学》预测试卷（一）.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\3、教育心理学\全新版《教育心理学》预测试卷（一）.pdf"
"39","全新版《教育学心理学》题型分类.doc",".doc","0.2","西安高层次人才教育类","教育心理学","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\3、教育心理学\全新版《教育学心理学》题型分类.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\3、教育心理学\全新版《教育学心理学》题型分类.doc"
"40","全新版教育心理学单选多选专项训练.pdf",".pdf","0.29","西安高层次人才教育类","教育心理学","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\3、教育心理学\全新版教育心理学单选多选专项训练.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\3、教育心理学\全新版教育心理学单选多选专项训练.pdf"
"41","教育学复习精华.pdf",".pdf","0.57","西安高层次人才教育类","教育学","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\7、综合演练\教育学复习精华.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\7、综合演练\教育学复习精华.pdf"
"42","全新版《教育学》考前预测模拟试卷（二）.pdf",".pdf","0.13","西安高层次人才教育类","教育学","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\1、教育学\全新版《教育学》考前预测模拟试卷（二）.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\1、教育学\全新版《教育学》考前预测模拟试卷（二）.pdf"
"43","全新版《教育学》考前预测模拟试卷（三）.pdf",".pdf","0.13","西安高层次人才教育类","教育学","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\1、教育学\全新版《教育学》考前预测模拟试卷（三）.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\1、教育学\全新版《教育学》考前预测模拟试卷（三）.pdf"
"44","全新版《教育学》考前预测模拟试卷（一）.pdf",".pdf","0.12","西安高层次人才教育类","教育学","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\1、教育学\全新版《教育学》考前预测模拟试卷（一）.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\1、教育学\全新版《教育学》考前预测模拟试卷（一）.pdf"
"45","全新版教师招聘考试教育学分章练习题集(客观题).doc",".doc","0.15","西安高层次人才教育类","教育学","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\1、教育学\全新版教师招聘考试教育学分章练习题集(客观题).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\1、教育学\全新版教师招聘考试教育学分章练习题集(客观题).doc"
"46","【14】全新教师招聘考试教育综合知识专家扫盲押题试卷（内部资料）12套_【金榜题名教育培训】.doc",".doc","29.91","西安高层次人才教育类","教育综合","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\全新西安高层次人才教育类招聘【教基】考试必过复习资料价值980元新版\【14】全新教师招聘考试教育综合知识专家扫盲押题试卷（内部资料）12套_【金榜题名教育培训】.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\全新西安高层次人才教育类招聘【教基】考试必过复习资料价值980元新版\【14】全新教师招聘考试教育综合知识专家扫盲押题试卷（内部资料）12套_【金榜题名教育培训】.doc"
"47","【15】全新教师招聘考试教育综合知识专家权威押题试卷（内部资料）12套_【金榜题名教育培训】.doc",".doc","32.7","西安高层次人才教育类","教育综合","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\全新西安高层次人才教育类招聘【教基】考试必过复习资料价值980元新版\【15】全新教师招聘考试教育综合知识专家权威押题试卷（内部资料）12套_【金榜题名教育培训】.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\全新西安高层次人才教育类招聘【教基】考试必过复习资料价值980元新版\【15】全新教师招聘考试教育综合知识专家权威押题试卷（内部资料）12套_【金榜题名教育培训】.doc"
"48","国家中长期教育改革和发展规划纲要.pdf",".pdf","0.5","西安高层次人才教育类","教育综合","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\7、综合演练\国家中长期教育改革和发展规划纲要.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\7、综合演练\国家中长期教育改革和发展规划纲要.pdf"
"49","教师招聘考试教育综合知识1000题1.0版本.pdf",".pdf","2.07","西安高层次人才教育类","教育综合","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\考前必刷教综精选1000题、300题\教师招聘考试教育综合知识1000题1.0版本.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\考前必刷教综精选1000题、300题\教师招聘考试教育综合知识1000题1.0版本.pdf"
"50","教师招聘考试教育综合知识1000题2.0版本.pdf",".pdf","0.99","西安高层次人才教育类","教育综合","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\考前必刷教综精选1000题、300题\教师招聘考试教育综合知识1000题2.0版本.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\考前必刷教综精选1000题、300题\教师招聘考试教育综合知识1000题2.0版本.pdf"
"51","教学技能.pdf",".pdf","0.19","西安高层次人才教育类","教育综合","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\7、综合演练\教学技能.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\7、综合演练\教学技能.pdf"
"52","教育综合知识1400题-单选题-800题-题本.docx",".docx","0.21","西安高层次人才教育类","教育综合","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\（单多判）教育综合知识1400题\教育综合知识1400题-单选题-800题-题本.docx","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\（单多判）教育综合知识1400题\教育综合知识1400题-单选题-800题-题本.docx"
"53","教育综合知识1400题-多选题-300题-题本.docx",".docx","0.09","西安高层次人才教育类","教育综合","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\（单多判）教育综合知识1400题\教育综合知识1400题-多选题-300题-题本.docx","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\（单多判）教育综合知识1400题\教育综合知识1400题-多选题-300题-题本.docx"
